word	frequency	category
local	1665	010-All or unspecified lines
organization	1657	010-All or unspecified lines
would	1615	010-All or unspecified lines
amendment	1613	010-All or unspecified lines
write	1610	010-All or unspecified lines
secretary	1597	010-All or unspecified lines
requirement	1597	010-All or unspecified lines
internal	1593	010-All or unspecified lines
contract	1571	010-All or unspecified lines
purchase	1563	010-All or unspecified lines
account	1554	010-All or unspecified lines
exceed	1548	010-All or unspecified lines
control	1540	010-All or unspecified lines
prior	1539	010-All or unspecified lines
review	1533	010-All or unspecified lines
equal	1532	010-All or unspecified lines
conduct	1529	010-All or unspecified lines
grant	1528	010-All or unspecified lines
claim	1528	010-All or unspecified lines
statement	1525	010-All or unspecified lines
vehicle	1523	010-All or unspecified lines
foreign	1504	010-All or unspecified lines
investment	1503	010-All or unspecified lines
name	1487	010-All or unspecified lines
committee	1483	010-All or unspecified lines
right	1472	010-All or unspecified lines
financial	1454	010-All or unspecified lines
percent	1451	010-All or unspecified lines
number	1448	010-All or unspecified lines
permit	1442	010-All or unspecified lines
tribunal	1440	010-All or unspecified lines
respect	1431	010-All or unspecified lines
return	1424	010-All or unspecified lines
violation	1422	010-All or unspecified lines
system	1419	010-All or unspecified lines
gross	1413	010-All or unspecified lines
certificate	1413	010-All or unspecified lines
subparagraph	1365	010-All or unspecified lines
unless	1364	010-All or unspecified lines
enforcement	1349	010-All or unspecified lines
transfer	1347	010-All or unspecified lines
security	1321	010-All or unspecified lines
attorney	1318	010-All or unspecified lines
exempt	1317	010-All or unspecified lines
meet	1313	010-All or unspecified lines
development	1299	010-All or unspecified lines
insurer	1289	010-All or unspecified lines
benefit	1283	010-All or unspecified lines
whether	1277	010-All or unspecified lines
criminal	1269	010-All or unspecified lines
january	1264	010-All or unspecified lines
effect	1264	010-All or unspecified lines
appropriate	1264	010-All or unspecified lines
hear	1261	010-All or unspecified lines
operate	1258	010-All or unspecified lines
base	1257	010-All or unspecified lines
regulation	1256	010-All or unspecified lines
form	1256	010-All or unspecified lines
charge	1252	010-All or unspecified lines
statute	1236	010-All or unspecified lines
specify	1232	010-All or unspecified lines
necessary	1229	010-All or unspecified lines
expense	1228	010-All or unspecified lines
end	1228	010-All or unspecified lines
government	1227	010-All or unspecified lines
strike	1216	010-All or unspecified lines
house	1214	010-All or unspecified lines
activity	1213	010-All or unspecified lines
education	1212	010-All or unspecified lines
december	1206	010-All or unspecified lines
without	1203	010-All or unspecified lines
hold	1190	010-All or unspecified lines
group	1187	010-All or unspecified lines
accordance	1186	010-All or unspecified lines
add	1179	010-All or unspecified lines
bill	1173	010-All or unspecified lines
fiscal	1173	010-All or unspecified lines
class	1168	010-All or unspecified lines
thereof	1168	010-All or unspecified lines
total	1166	010-All or unspecified lines
operation	1163	010-All or unspecified lines
equipment	1163	010-All or unspecified lines
eligible	1162	010-All or unspecified lines
available	1158	010-All or unspecified lines
community	1156	010-All or unspecified lines
exemption	1155	010-All or unspecified lines
addition	1144	010-All or unspecified lines
process	1139	010-All or unspecified lines
sell	1135	010-All or unspecified lines
jurisdiction	1132	010-All or unspecified lines
result	1125	010-All or unspecified lines
material	1124	010-All or unspecified lines
thereto	1122	010-All or unspecified lines
another	1120	010-All or unspecified lines
approve	1118	010-All or unspecified lines
register	1116	010-All or unspecified lines
extent	1115	010-All or unspecified lines
submit	1109	010-All or unspecified lines
describe	1107	010-All or unspecified lines
offense	1104	010-All or unspecified lines
begin	1091	010-All or unspecified lines
civil	1084	010-All or unspecified lines
official	1079	010-All or unspecified lines
family	1079	010-All or unspecified lines
two	1078	010-All or unspecified lines
ors	1075	010-All or unspecified lines
applicant	1063	010-All or unspecified lines
area	1062	010-All or unspecified lines
give	1057	010-All or unspecified lines
iii	1047	010-All or unspecified lines
set	1046	010-All or unspecified lines
deduction	1046	010-All or unspecified lines
policy	1043	010-All or unspecified lines
appeal	1039	010-All or unspecified lines
version	1039	010-All or unspecified lines
insert	1033	010-All or unspecified lines
least	1027	010-All or unspecified lines
change	1023	010-All or unspecified lines
parent	1009	010-All or unspecified lines
repeal	1008	010-All or unspecified lines
month	994	010-All or unspecified lines
loan	986	010-All or unspecified lines
applicable	985	010-All or unspecified lines
adopt	983	010-All or unspecified lines
duty	977	010-All or unspecified lines
contain	973	010-All or unspecified lines
cause	966	010-All or unspecified lines
due	964	010-All or unspecified lines
administrative	962	010-All or unspecified lines
procedure	962	010-All or unspecified lines
enter	961	010-All or unspecified lines
hundred	958	010-All or unspecified lines
directly	957	010-All or unspecified lines
ksa	955	010-All or unspecified lines
trust	954	010-All or unspecified lines
motor	947	010-All or unspecified lines
maintain	943	010-All or unspecified lines
annual	941	010-All or unspecified lines
copy	940	010-All or unspecified lines
rate	938	010-All or unspecified lines
tangible	937	010-All or unspecified lines
certify	936	010-All or unspecified lines
find	933	010-All or unspecified lines
condition	932	010-All or unspecified lines
dollar	930	010-All or unspecified lines
owner	927	010-All or unspecified lines
receipt	927	010-All or unspecified lines
july	916	010-All or unspecified lines
manner	913	010-All or unspecified lines
locate	912	010-All or unspecified lines
institution	912	010-All or unspecified lines
illinois	908	010-All or unspecified lines
net	906	010-All or unspecified lines
power	904	010-All or unspecified lines
petition	904	010-All or unspecified lines
obtain	902	010-All or unspecified lines
registration	899	010-All or unspecified lines
serve	898	010-All or unspecified lines
management	896	010-All or unspecified lines
designate	893	010-All or unspecified lines
defendant	892	010-All or unspecified lines
value	892	010-All or unspecified lines
employer	891	010-All or unspecified lines
agent	889	010-All or unspecified lines
product	884	010-All or unspecified lines
item	882	010-All or unspecified lines
money	882	010-All or unspecified lines
statutes	864	010-All or unspecified lines
real	863	010-All or unspecified lines
collect	863	010-All or unspecified lines
document	863	010-All or unspecified lines
age	862	010-All or unspecified lines
division	862	010-All or unspecified lines
assembly	859	010-All or unspecified lines
basis	859	010-All or unspecified lines
prescribe	855	010-All or unspecified lines
penalty	854	010-All or unspecified lines
transaction	851	010-All or unspecified lines
minimum	850	010-All or unspecified lines
consider	834	010-All or unspecified lines
provider	834	010-All or unspecified lines
victim	832	010-All or unspecified lines
hereby	831	010-All or unspecified lines
tothe	828	010-All or unspecified lines
private	822	010-All or unspecified lines
assistance	814	010-All or unspecified lines
good	813	010-All or unspecified lines
electronic	812	010-All or unspecified lines
medical	811	010-All or unspecified lines
deem	810	010-All or unspecified lines
modification	808	010-All or unspecified lines
five	805	010-All or unspecified lines
carry	803	010-All or unspecified lines
capital	802	010-All or unspecified lines
national	799	010-All or unspecified lines
address	797	010-All or unspecified lines
employment	794	010-All or unspecified lines
licensee	791	010-All or unspecified lines
either	790	010-All or unspecified lines
home	786	010-All or unspecified lines
need	779	010-All or unspecified lines
obligation	776	010-All or unspecified lines
special	775	010-All or unspecified lines
firearm	773	010-All or unspecified lines
water	772	010-All or unspecified lines
consumer	767	010-All or unspecified lines
become	766	010-All or unspecified lines
finance	763	010-All or unspecified lines
notwithstanding	761	010-All or unspecified lines
lease	761	010-All or unspecified lines
standard	758	010-All or unspecified lines
per	757	010-All or unspecified lines
create	756	010-All or unspecified lines
deposit	750	010-All or unspecified lines
regard	746	010-All or unspecified lines
reasonable	742	010-All or unspecified lines
legal	739	010-All or unspecified lines
loss	733	010-All or unspecified lines
guilty	731	010-All or unspecified lines
june	726	010-All or unspecified lines
engage	725	010-All or unspecified lines
services	723	010-All or unspecified lines
additional	722	010-All or unspecified lines
incur	721	010-All or unspecified lines
fact	717	010-All or unspecified lines
direct	716	010-All or unspecified lines
work	714	010-All or unspecified lines
body	712	010-All or unspecified lines
partnership	709	010-All or unspecified lines
award	703	010-All or unspecified lines
evidence	702	010-All or unspecified lines
forth	699	010-All or unspecified lines
bond	699	010-All or unspecified lines
propose	698	010-All or unspecified lines
exist	693	010-All or unspecified lines
excess	690	010-All or unspecified lines
also	689	010-All or unspecified lines
transportation	687	010-All or unspecified lines
appoint	686	010-All or unspecified lines
share	684	010-All or unspecified lines
calendar	682	010-All or unspecified lines
portion	682	010-All or unspecified lines
determination	679	010-All or unspecified lines
governor	677	010-All or unspecified lines
identify	677	010-All or unspecified lines
oregon	677	010-All or unspecified lines
defense	676	010-All or unspecified lines
source	675	010-All or unspecified lines
construction	674	010-All or unspecified lines
thousand	673	010-All or unspecified lines
decision	670	010-All or unspecified lines
manufacture	669	010-All or unspecified lines
thissection	669	010-All or unspecified lines
misdemeanor	669	010-All or unspecified lines
clause	666	010-All or unspecified lines
introduced	664	010-All or unspecified lines
council	664	010-All or unspecified lines
commit	664	010-All or unspecified lines
line	662	010-All or unspecified lines
perform	659	010-All or unspecified lines
furnish	657	010-All or unspecified lines
judgment	654	010-All or unspecified lines
entitle	651	010-All or unspecified lines
continue	647	010-All or unspecified lines
judge	645	010-All or unspecified lines
adjust	642	010-All or unspecified lines
student	641	010-All or unspecified lines
land	640	010-All or unspecified lines
build	639	010-All or unspecified lines
accrue	638	010-All or unspecified lines
association	637	010-All or unspecified lines
storage	636	010-All or unspecified lines
represent	635	010-All or unspecified lines
compensation	635	010-All or unspecified lines
country	634	010-All or unspecified lines
data	630	010-All or unspecified lines
final	630	010-All or unspecified lines
status	629	010-All or unspecified lines
estate	627	010-All or unspecified lines
approval	627	010-All or unspecified lines
disclosure	627	010-All or unspecified lines
seek	624	010-All or unspecified lines
maximum	623	010-All or unspecified lines
comply	618	010-All or unspecified lines
sentence	618	010-All or unspecified lines
seq	616	010-All or unspecified lines
refund	614	010-All or unspecified lines
train	614	010-All or unspecified lines
domestic	611	010-All or unspecified lines
complete	609	010-All or unspecified lines
treatment	605	010-All or unspecified lines
clerk	605	010-All or unspecified lines
assessment	604	010-All or unspecified lines
seller	601	010-All or unspecified lines
contribution	599	010-All or unspecified lines
unit	599	010-All or unspecified lines
subtitle	599	010-All or unspecified lines
toread	598	010-All or unspecified lines
however	597	010-All or unspecified lines
bank	597	010-All or unspecified lines
inthe	596	010-All or unspecified lines
increase	596	010-All or unspecified lines
event	595	010-All or unspecified lines
sexual	594	010-All or unspecified lines
debt	593	010-All or unspecified lines
affect	593	010-All or unspecified lines
vote	592	010-All or unspecified lines
usc	592	010-All or unspecified lines
own	587	010-All or unspecified lines
modify	587	010-All or unspecified lines
thedepartment	586	010-All or unspecified lines
commonwealth	585	010-All or unspecified lines
budget	584	010-All or unspecified lines
reason	584	010-All or unspecified lines
protection	584	010-All or unspecified lines
justice	583	010-All or unspecified lines
present	582	010-All or unspecified lines
reduce	581	010-All or unspecified lines
emergency	581	010-All or unspecified lines
certain	577	010-All or unspecified lines
mail	577	010-All or unspecified lines
know	574	010-All or unspecified lines
executive	573	010-All or unspecified lines
violate	572	010-All or unspecified lines
whose	571	010-All or unspecified lines
three	571	010-All or unspecified lines
city	569	010-All or unspecified lines
similar	568	010-All or unspecified lines
occur	568	010-All or unspecified lines
every	567	010-All or unspecified lines
fail	567	010-All or unspecified lines
military	567	010-All or unspecified lines
bythe	566	010-All or unspecified lines
asset	566	010-All or unspecified lines
safety	565	010-All or unspecified lines
involve	564	010-All or unspecified lines
practice	564	010-All or unspecified lines
fin	563	010-All or unspecified lines
felony	563	010-All or unspecified lines
purchaser	563	010-All or unspecified lines
current	559	010-All or unspecified lines
prohibit	559	010-All or unspecified lines
access	557	010-All or unspecified lines
ofthis	557	010-All or unspecified lines
commercial	556	010-All or unspecified lines
limitation	556	010-All or unspecified lines
later	555	010-All or unspecified lines
card	552	010-All or unspecified lines
performance	552	010-All or unspecified lines
human	552	010-All or unspecified lines
possession	551	010-All or unspecified lines
sections	547	010-All or unspecified lines
opportunity	547	010-All or unspecified lines
expenditure	544	010-All or unspecified lines
commence	544	010-All or unspecified lines
contractor	543	010-All or unspecified lines
govern	542	010-All or unspecified lines
list	541	010-All or unspecified lines
conviction	538	010-All or unspecified lines
remain	536	010-All or unspecified lines
location	536	010-All or unspecified lines
enact	536	010-All or unspecified lines
price	535	010-All or unspecified lines
outside	535	010-All or unspecified lines
show	533	010-All or unspecified lines
distribution	533	010-All or unspecified lines
abuse	533	010-All or unspecified lines
disability	531	010-All or unspecified lines
trade	531	010-All or unspecified lines
levy	529	010-All or unspecified lines
participant	528	010-All or unspecified lines
concern	528	010-All or unspecified lines
matter	527	010-All or unspecified lines
retirement	527	010-All or unspecified lines
consumption	526	010-All or unspecified lines
crime	524	010-All or unspecified lines
representative	523	010-All or unspecified lines
notify	520	010-All or unspecified lines
word	519	010-All or unspecified lines
delivery	516	010-All or unspecified lines
taxation	516	010-All or unspecified lines
ilcs	515	010-All or unspecified lines
offer	514	010-All or unspecified lines
establishment	514	010-All or unspecified lines
behalf	512	010-All or unspecified lines
food	512	010-All or unspecified lines
investigation	508	010-All or unspecified lines
prepare	505	010-All or unspecified lines
gamble	505	010-All or unspecified lines
legislature	505	010-All or unspecified lines
eff	504	010-All or unspecified lines
failure	504	010-All or unspecified lines
principal	501	010-All or unspecified lines
device	501	010-All or unspecified lines
chief	501	010-All or unspecified lines
college	500	010-All or unspecified lines
consent	499	010-All or unspecified lines
political	499	010-All or unspecified lines
resident	498	010-All or unspecified lines
cover	496	010-All or unspecified lines
appear	495	010-All or unspecified lines
spouse	494	010-All or unspecified lines
maintenance	493	010-All or unspecified lines
communication	490	010-All or unspecified lines
say	490	010-All or unspecified lines
indirectly	488	010-All or unspecified lines
social	488	010-All or unspecified lines
gas	487	010-All or unspecified lines
enforce	485	010-All or unspecified lines
refer	485	010-All or unspecified lines
immediately	485	010-All or unspecified lines
constitute	482	010-All or unspecified lines
injury	482	010-All or unspecified lines
participate	480	010-All or unspecified lines
degree	480	010-All or unspecified lines
kansas	479	010-All or unspecified lines
production	477	010-All or unspecified lines
repair	475	010-All or unspecified lines
phrase	473	010-All or unspecified lines
premium	471	010-All or unspecified lines
audit	467	010-All or unspecified lines
educational	466	010-All or unspecified lines
damage	465	010-All or unspecified lines
administer	464	010-All or unspecified lines
senate	463	010-All or unspecified lines
municipality	461	010-All or unspecified lines
deliver	458	010-All or unspecified lines
connection	458	010-All or unspecified lines
administration	457	010-All or unspecified lines
coverage	456	010-All or unspecified lines
energy	456	010-All or unspecified lines
compute	454	010-All or unspecified lines
election	448	010-All or unspecified lines
holder	448	010-All or unspecified lines
police	447	010-All or unspecified lines
convict	445	010-All or unspecified lines
sum	444	010-All or unspecified lines
supply	442	010-All or unspecified lines
certification	442	010-All or unspecified lines
aid	440	010-All or unspecified lines
acquire	439	010-All or unspecified lines
exchange	439	010-All or unspecified lines
reserve	438	010-All or unspecified lines
zone	438	010-All or unspecified lines
minor	438	010-All or unspecified lines
debtor	437	010-All or unspecified lines
retail	437	010-All or unspecified lines
compliance	434	010-All or unspecified lines
insure	433	010-All or unspecified lines
mental	432	010-All or unspecified lines
market	430	010-All or unspecified lines
fuel	429	010-All or unspecified lines
joint	429	010-All or unspecified lines
identification	428	010-All or unspecified lines
hour	427	010-All or unspecified lines
forthe	426	010-All or unspecified lines
percentage	422	010-All or unspecified lines
method	420	010-All or unspecified lines
force	420	010-All or unspecified lines
separate	415	010-All or unspecified lines
impact	415	010-All or unspecified lines
implement	414	010-All or unspecified lines
subsequent	414	010-All or unspecified lines
worker	414	010-All or unspecified lines
risk	413	010-All or unspecified lines
shallbe	412	010-All or unspecified lines
regular	412	010-All or unspecified lines
employ	411	010-All or unspecified lines
california	411	010-All or unspecified lines
florida	411	010-All or unspecified lines
minnesota	410	010-All or unspecified lines
legislative	410	010-All or unspecified lines
center	410	010-All or unspecified lines
issuance	410	010-All or unspecified lines
relief	409	010-All or unspecified lines
original	408	010-All or unspecified lines
drug	407	010-All or unspecified lines
develop	405	010-All or unspecified lines
release	404	010-All or unspecified lines
shareholder	404	010-All or unspecified lines
regional	403	010-All or unspecified lines
complaint	403	010-All or unspecified lines
administrator	403	010-All or unspecified lines
authorization	402	010-All or unspecified lines
disclose	402	010-All or unspecified lines
agree	398	010-All or unspecified lines
full	397	010-All or unspecified lines
affiliate	396	010-All or unspecified lines
professional	396	010-All or unspecified lines
nonresident	395	010-All or unspecified lines
custody	394	010-All or unspecified lines
oklahoma	394	010-All or unspecified lines
initial	393	010-All or unspecified lines
natural	393	010-All or unspecified lines
thefollowing	391	010-All or unspecified lines
sign	388	010-All or unspecified lines
unitary	387	010-All or unspecified lines
nonprofit	386	010-All or unspecified lines
subd	386	010-All or unspecified lines
game	386	010-All or unspecified lines
rat	385	010-All or unspecified lines
distribute	384	010-All or unspecified lines
sales	383	010-All or unspecified lines
earn	383	010-All or unspecified lines
machinery	382	010-All or unspecified lines
waste	380	010-All or unspecified lines
redevelopment	378	010-All or unspecified lines
imprison	377	010-All or unspecified lines
economic	376	010-All or unspecified lines
adjustment	375	010-All or unspecified lines
intent	375	010-All or unspecified lines
virginia	373	010-All or unspecified lines
identity	373	010-All or unspecified lines
job	372	010-All or unspecified lines
consideration	372	010-All or unspecified lines
farm	372	010-All or unspecified lines
function	371	010-All or unspecified lines
thereafter	368	010-All or unspecified lines
produce	368	010-All or unspecified lines
vessel	366	010-All or unspecified lines
precede	365	010-All or unspecified lines
improvement	365	010-All or unspecified lines
course	364	010-All or unspecified lines
privilege	363	010-All or unspecified lines
deduct	363	010-All or unspecified lines
residential	363	010-All or unspecified lines
exclude	362	010-All or unspecified lines
riverboat	362	010-All or unspecified lines
ensure	361	010-All or unspecified lines
forward	360	010-All or unspecified lines
appropriation	360	010-All or unspecified lines
allocate	360	010-All or unspecified lines
level	360	010-All or unspecified lines
accept	358	010-All or unspecified lines
last	357	010-All or unspecified lines
assess	356	010-All or unspecified lines
alternative	355	010-All or unspecified lines
check	355	010-All or unspecified lines
dividend	354	010-All or unspecified lines
exercise	354	010-All or unspecified lines
examination	353	010-All or unspecified lines
treasurer	352	010-All or unspecified lines
intend	352	010-All or unspecified lines
physical	352	010-All or unspecified lines
intangible	351	010-All or unspecified lines
session	350	010-All or unspecified lines
hospital	350	010-All or unspecified lines
ordinance	348	010-All or unspecified lines
judicial	347	010-All or unspecified lines
assist	346	010-All or unspecified lines
installation	346	010-All or unspecified lines
measure	345	010-All or unspecified lines
allege	343	010-All or unspecified lines
columbia	342	010-All or unspecified lines
trial	342	010-All or unspecified lines
ten	341	010-All or unspecified lines
actual	341	010-All or unspecified lines
description	340	010-All or unspecified lines
termination	340	010-All or unspecified lines
theprovisions	338	010-All or unspecified lines
design	338	010-All or unspecified lines
independent	338	010-All or unspecified lines
retain	338	010-All or unspecified lines
elect	337	010-All or unspecified lines
incorporate	337	010-All or unspecified lines
greater	336	010-All or unspecified lines
utility	336	010-All or unspecified lines
highway	336	010-All or unspecified lines
type	335	010-All or unspecified lines
active	335	010-All or unspecified lines
nothing	334	010-All or unspecified lines
offender	333	010-All or unspecified lines
rcw	332	010-All or unspecified lines
specific	332	010-All or unspecified lines
petitioner	332	010-All or unspecified lines
krs	331	010-All or unspecified lines
thecommissioner	331	010-All or unspecified lines
stock	331	010-All or unspecified lines
regulatory	329	010-All or unspecified lines
allocation	328	010-All or unspecified lines
adult	328	010-All or unspecified lines
air	327	010-All or unspecified lines
settlement	327	010-All or unspecified lines
enactment	327	010-All or unspecified lines
million	326	010-All or unspecified lines
bring	326	010-All or unspecified lines
four	325	010-All or unspecified lines
thissubsection	325	010-All or unspecified lines
beneficiary	321	010-All or unspecified lines
contest	321	010-All or unspecified lines
corporate	320	010-All or unspecified lines
FALSE	320	010-All or unspecified lines
household	320	010-All or unspecified lines
residence	320	010-All or unspecified lines
conversion	320	010-All or unspecified lines
unlawful	320	010-All or unspecified lines
thestate	320	010-All or unspecified lines
schedule	319	010-All or unspecified lines
reduction	319	010-All or unspecified lines
resolution	318	010-All or unspecified lines
protect	317	010-All or unspecified lines
collection	317	010-All or unspecified lines
rental	317	010-All or unspecified lines
payable	317	010-All or unspecified lines
reside	317	010-All or unspecified lines
terminate	316	010-All or unspecified lines
alcoholic	316	010-All or unspecified lines
recognize	316	010-All or unspecified lines
former	315	010-All or unspecified lines
well	314	010-All or unspecified lines
contact	314	010-All or unspecified lines
equity	314	010-All or unspecified lines
calculate	313	010-All or unspecified lines
rent	313	010-All or unspecified lines
structure	313	010-All or unspecified lines
position	313	010-All or unspecified lines
ownership	313	010-All or unspecified lines
temporary	312	010-All or unspecified lines
extension	312	010-All or unspecified lines
marriage	312	010-All or unspecified lines
gain	311	010-All or unspecified lines
recommendation	310	010-All or unspecified lines
captive	308	010-All or unspecified lines
plus	308	010-All or unspecified lines
counsel	307	010-All or unspecified lines
cannabis	307	010-All or unspecified lines
university	306	010-All or unspecified lines
laws	306	010-All or unspecified lines
note	306	010-All or unspecified lines
supreme	306	010-All or unspecified lines
definition	306	010-All or unspecified lines
personnel	306	010-All or unspecified lines
liable	305	010-All or unspecified lines
circumstance	305	010-All or unspecified lines
render	304	010-All or unspecified lines
organize	304	010-All or unspecified lines
responsibility	304	010-All or unspecified lines
senior	303	010-All or unspecified lines
live	302	010-All or unspecified lines
motion	302	010-All or unspecified lines
par	302	010-All or unspecified lines
send	301	010-All or unspecified lines
acquisition	301	010-All or unspecified lines
fifty	301	010-All or unspecified lines
obligor	300	010-All or unspecified lines
head	300	010-All or unspecified lines
previously	300	010-All or unspecified lines
deny	300	010-All or unspecified lines
research	299	010-All or unspecified lines
governmental	299	010-All or unspecified lines
revoke	299	010-All or unspecified lines
telephone	299	010-All or unspecified lines
substance	299	010-All or unspecified lines
prevent	299	010-All or unspecified lines
site	299	010-All or unspecified lines
recipient	299	010-All or unspecified lines
labor	299	010-All or unspecified lines
suspend	298	010-All or unspecified lines
lien	297	010-All or unspecified lines
responsible	296	010-All or unspecified lines
treat	296	010-All or unspecified lines
municipal	295	010-All or unspecified lines
solely	295	010-All or unspecified lines
publish	295	010-All or unspecified lines
manager	295	010-All or unspecified lines
october	294	010-All or unspecified lines
consistent	294	010-All or unspecified lines
manufacturer	294	010-All or unspecified lines
reasonably	293	010-All or unspecified lines
death	293	010-All or unspecified lines
welfare	293	010-All or unspecified lines
second	293	010-All or unspecified lines
resource	291	010-All or unspecified lines
carolina	290	010-All or unspecified lines
thisstate	289	010-All or unspecified lines
valid	288	010-All or unspecified lines
respond	288	010-All or unspecified lines
satisfy	288	010-All or unspecified lines
promulgate	287	010-All or unspecified lines
subchapter	286	010-All or unspecified lines
seal	286	010-All or unspecified lines
arrangement	286	010-All or unspecified lines
life	286	010-All or unspecified lines
premise	285	010-All or unspecified lines
membership	284	010-All or unspecified lines
content	284	010-All or unspecified lines
warrant	283	010-All or unspecified lines
aggregate	283	010-All or unspecified lines
beverage	282	010-All or unspecified lines
withhold	281	010-All or unspecified lines
fine	281	010-All or unspecified lines
specifically	280	010-All or unspecified lines
depreciation	280	010-All or unspecified lines
arrest	280	010-All or unspecified lines
respondent	280	010-All or unspecified lines
proof	279	010-All or unspecified lines
leave	278	010-All or unspecified lines
union	277	010-All or unspecified lines
factor	277	010-All or unspecified lines
pupil	276	010-All or unspecified lines
computer	276	010-All or unspecified lines
salary	275	010-All or unspecified lines
video	274	010-All or unspecified lines
oil	274	010-All or unspecified lines
dealer	274	010-All or unspecified lines
study	272	010-All or unspecified lines
criterion	272	010-All or unspecified lines
enacted	272	010-All or unspecified lines
associate	271	010-All or unspecified lines
free	271	010-All or unspecified lines
notification	270	010-All or unspecified lines
small	270	010-All or unspecified lines
undersection	270	010-All or unspecified lines
uniform	270	010-All or unspecified lines
remove	270	010-All or unspecified lines
supervision	269	010-All or unspecified lines
adoption	269	010-All or unspecified lines
arise	268	010-All or unspecified lines
secure	267	010-All or unspecified lines
substantially	267	010-All or unspecified lines
isamended	267	010-All or unspecified lines
partner	267	010-All or unspecified lines
keep	266	010-All or unspecified lines
instruction	266	010-All or unspecified lines
store	264	010-All or unspecified lines
plant	264	010-All or unspecified lines
