A_WEBC_URL	STATE	ICS_SCC	ICS_LOBS
2015/E_AZ_SB_1338.htm	AZ	500-Corporate organization and governance	
2015/E_AZ_SB_1338.htm	AZ	360-Filing and reporting requirements	Personal P&C
2015/E_AZ_SB_1338.htm	AZ	200-Title insurance / insurers	Commercial P&C
2015/E_AZ_SB_1338.htm	AZ	840-Government agencies	
2015/E_VA_HB_2100.htm	VA	800-Legal procedure / proceedings	
2015/E_VA_HB_2100.htm	VA	840-Government agencies	
2015/E_VA_HB_2100.htm	VA	720-Information practices	
2015/E_VA_HB_2100.htm	VA	600-Financial impairment	
2015/E_VA_HB_2100.htm	VA	580-Fees and taxes	
2015/E_VA_HB_2100.htm	VA	560-Finance and investments	
2015/E_VA_HB_2100.htm	VA	500-Corporate organization and governance	
2015/E_VA_HB_2100.htm	VA	100-Property and fire insurance / insurers	Commercial P&C
2015/E_VA_HB_2100.htm	VA	120-Casualty and liability insurance / insurers	
2015/I_AB_1.html	NV	120-Casualty and liability insurance / insurers	Commercial P&C
2015/I_AB_1.html	NV	290-Self insurance / insurers	
2015/I_AB_1.html	NV	300-The policy	
2015/I_AB_1.html	NV	840-Government agencies	
2015/I_AB_1.html	NV	720-Information practices	
2015/I_AB_1.html	NV	800-Legal procedure / proceedings	
2015/I_AB_1.html	NV	580-Fees and taxes	
2015/I_AB_10.html	WI	800-Legal procedure / proceedings	Health
2015/I_AB_10.html	WI	010-All/unspecified lines	Commercial P&C
2015/I_AB_101.html	WI	065-Health service corporations	
2015/I_AB_101.html	WI	060-Health insurance / insurers	Health
2015/I_AB_101.html	WI	080-Group insurance (all lines)	
2015/I_AB_101.html	WI	300-The policy	
2015/I_AB_101.html	WI	760-Premium rates / rating organizations	
2015/I_AB_101.html	WI	840-Government agencies	
2015/I_AB_102.html	NY	060-Health insurance / insurers	Health
2015/I_AB_102.html	WI	580-Fees and taxes	Life
2015/I_AB_102.html	WI	560-Finance and investments	Health
2015/I_AB_102.html	WI	010-All/unspecified lines	Commercial P&C
2015/I_AB_102.html	NY	320-Mandated health benefits	
2015/I_AB_102.html	NY	300-The policy	
2015/I_AB_102.html	NY	080-Group insurance (all lines)	
2015/I_AB_102.html	NY	065-Health service corporations	
2015/I_AB_1027.html	CA	300-The policy	Personal P&C
2015/I_AB_1027.html	CA	140-Automobile insurance / insurers	Commercial P&C
2015/I_AB_103.html	NV	580-Fees and taxes	
2015/I_AB_103.html	NV	840-Government agencies	
2015/I_AB_103.html	NV	450-Other representatives	Personal P&C
2015/I_AB_103.html	NV	140-Automobile insurance / insurers	Commercial P&C
2015/I_AB_1031.html	NY	800-Legal procedure / proceedings	Personal P&C
2015/I_AB_1031.html	NY	120-Casualty and liability insurance / insurers	Commercial P&C
2015/I_AB_1038.html	NY	080-Group insurance (all lines)	
2015/I_AB_1038.html	NY	300-The policy	
2015/I_AB_1038.html	NY	065-Health service corporations	
2015/I_AB_1038.html	NY	060-Health insurance / insurers	Health
2015/I_AB_1046.html	NY	140-Automobile insurance / insurers	Commercial P&C
2015/I_AB_1048.html	NY	840-Government agencies	Life
2015/I_AB_1048.html	NY	010-All/unspecified lines	Commercial P&C
2015/I_AB_1048.html	NY	760-Premium rates / rating organizations	Health
2015/I_AB_1051.html	NY	060-Health insurance / insurers	Health
2015/I_AB_1051.html	NY	010-All/unspecified lines	Commercial P&C
2015/I_AB_1051.html	NY	065-Health service corporations	Life
2015/I_AB_1051.html	NY	080-Group insurance (all lines)	Personal P&C
2015/I_AB_1051.html	NY	800-Legal procedure / proceedings	
2015/I_AB_1051.html	NY	120-Casualty and liability insurance / insurers	
2015/I_AB_1051.html	NY	100-Property and fire insurance / insurers	
2015/I_AB_1051.html	NY	720-Information practices	
2015/I_AB_1051.html	NY	400-Insurance representatives	
2015/I_AB_1051.html	NY	300-The policy	
2015/I_AB_1053.html	NY	300-The policy	
2015/I_AB_1053.html	NY	080-Group insurance (all lines)	
2015/I_AB_1053.html	NY	065-Health service corporations	
2015/I_AB_1053.html	NY	060-Health insurance / insurers	Health
2015/I_AB_1053.html	NY	320-Mandated health benefits	
2015/I_AB_1054.html	NY	080-Group insurance (all lines)	
2015/I_AB_1054.html	NY	065-Health service corporations	
2015/I_AB_1054.html	NY	004-Duedates	Health
2015/I_AB_1054.html	NY	300-The policy	
2015/I_AB_1055.html	NY	320-Mandated health benefits	
2015/I_AB_1055.html	NY	060-Health insurance / insurers	Health
2015/I_AB_1055.html	NY	065-Health service corporations	
2015/I_AB_1055.html	NY	080-Group insurance (all lines)	
2015/I_AB_1055.html	NY	300-The policy	
2015/I_AB_1056.html	NY	580-Fees and taxes	
2015/I_AB_1056.html	NY	300-The policy	
2015/I_AB_1056.html	NY	060-Health insurance / insurers	Health
2015/I_AB_1056.html	NY	080-Group insurance (all lines)	
2015/I_AB_1056.html	NY	800-Legal procedure / proceedings	
2015/I_AB_1056.html	NY	065-Health service corporations	
2015/I_AB_1056.html	NY	840-Government agencies	
2015/I_AB_1063.html	NY	960-Federal Law citations	
2015/I_AB_1063.html	NY	080-Group insurance (all lines)	
2015/I_AB_1063.html	NY	065-Health service corporations	
2015/I_AB_1063.html	NY	060-Health insurance / insurers	Health
2015/I_AB_1063.html	NY	300-The policy	
2015/I_AB_1064.html	NY	840-Government agencies	
2015/I_AB_1064.html	NY	060-Health insurance / insurers	Health
2015/I_AB_1064.html	NY	300-The policy	
2015/I_AB_1064.html	NY	080-Group insurance (all lines)	
2015/I_AB_1064.html	NY	065-Health service corporations	
2015/I_AB_1072_R_2.html	CA	840-Government agencies	
2015/I_AB_1072_R_2.html	CA	800-Legal procedure / proceedings	
2015/I_AB_1072_R_2.html	CA	720-Information practices	
2015/I_AB_1072_R_2.html	CA	560-Finance and investments	
2015/I_AB_1072_R_2.html	CA	500-Corporate organization and governance	
2015/I_AB_1072_R_2.html	CA	300-The policy	
2015/I_AB_1072_R_2.html	CA	080-Group insurance (all lines)	
2015/I_AB_1072_R_2.html	CA	065-Health service corporations	
2015/I_AB_1072_R_2.html	CA	060-Health insurance / insurers	
2015/I_AB_1072_R_2.html	CA	004-Duedates	Health
2015/I_AB_1072_R_2.html	CA	360-Filing and reporting requirements	
2015/I_AB_1078.html	NY	840-Government agencies	
2015/I_AB_1078.html	NY	800-Legal procedure / proceedings	
2015/I_AB_1078.html	NY	140-Automobile insurance / insurers	Commercial P&C
2015/I_AB_1078.html	NY	580-Fees and taxes	Personal P&C
2015/I_AB_1081_R_1.html	CA	720-Information practices	
2015/I_AB_1081_R_1.html	CA	120-Casualty and liability insurance / insurers	Commercial P&C
2015/I_AB_1081_R_1.html	CA	580-Fees and taxes	Personal P&C
2015/I_AB_1081_R_1.html	CA	800-Legal procedure / proceedings	
2015/I_AB_1081_R_1.html	CA	840-Government agencies	
2015/I_AB_1096_R_1.html	CA	720-Information practices	
2015/I_AB_1096_R_1.html	CA	140-Automobile insurance / insurers	Commercial P&C
2015/I_AB_1096_R_1.html	CA	300-The policy	Personal P&C
2015/I_AB_1097.html	CA	010-All/unspecified lines	Commercial P&C
2015/I_AB_1097.html	CA	720-Information practices	Health
2015/I_AB_1109.html	CA	840-Government agencies	
2015/I_AB_1109.html	CA	060-Health insurance / insurers	Health
2015/I_AB_1109.html	CA	065-Health service corporations	
2015/I_AB_1109.html	CA	080-Group insurance (all lines)	
2015/I_AB_1109.html	CA	300-The policy	
2015/I_AB_1116.html	NY	840-Government agencies	
2015/I_AB_1116.html	NY	560-Finance and investments	
2015/I_AB_1116.html	NY	360-Filing and reporting requirements	
2015/I_AB_1116.html	NY	300-The policy	
2015/I_AB_1116.html	NY	040-Annuities	Life
2015/I_AB_1116.html	NY	080-Group insurance (all lines)	
2015/I_AB_1124.html	NY	125-Professional liability insurance / insurers	Commercial P&C
2015/I_AB_1124.html	NY	800-Legal procedure / proceedings	
2015/I_AB_1124.html	CA	800-Legal procedure / proceedings	
2015/I_AB_1124.html	CA	720-Information practices	
2015/I_AB_1124.html	CA	350-Noninsurance contracts	
2015/I_AB_1124.html	CA	840-Government agencies	
2015/I_AB_1124.html	CA	290-Self insurance / insurers	
2015/I_AB_1124.html	CA	160-Workers compensation insurance / insurers	Commercial P&C
2015/I_AB_1124.html	CA	300-The policy	
2015/I_AB_1128.html	NY	720-Information practices	Health
2015/I_AB_1128.html	NY	010-All/unspecified lines	Commercial P&C
2015/I_AB_1128.html	NY	800-Legal procedure / proceedings	Life
2015/I_AB_1129.html	NY	840-Government agencies	Personal P&C
2015/I_AB_1129.html	NY	720-Information practices	Life
2015/I_AB_1129.html	NY	360-Filing and reporting requirements	Health
2015/I_AB_1129.html	NY	010-All/unspecified lines	Commercial P&C
2015/I_AB_113.html	NY	700-Trade practices	Health
2015/I_AB_113.html	NY	800-Legal procedure / proceedings	Life
2015/I_AB_113.html	NY	960-Federal Law citations	Personal P&C
2015/I_AB_113.html	NY	010-All/unspecified lines	Commercial P&C
2015/I_AB_113.html	WI	300-The policy	Personal P&C
2015/I_AB_113.html	WI	140-Automobile insurance / insurers	Commercial P&C
2015/I_AB_1131.html	CA	840-Government agencies	
2015/I_AB_1131.html	CA	800-Legal procedure / proceedings	
2015/I_AB_1131.html	CA	720-Information practices	
2015/I_AB_1131.html	CA	300-The policy	Life
2015/I_AB_1131.html	CA	400-Insurance representatives	Personal P&C
2015/I_AB_1131.html	CA	010-All/unspecified lines	Commercial P&C
2015/I_AB_1131.html	CA	020-Life insurance / insurers	Health
2015/I_AB_1133.html	NY	010-All/unspecified lines	Commercial P&C
2015/I_AB_1133.html	NY	720-Information practices	Health
2015/I_AB_1133.html	NY	800-Legal procedure / proceedings	Life
2015/I_AB_1133.html	NY	840-Government agencies	Personal P&C
2015/I_AB_114.html	NV	580-Fees and taxes	Health
2015/I_AB_114.html	NV	840-Government agencies	
2015/I_AB_114.html	NV	800-Legal procedure / proceedings	Personal P&C
2015/I_AB_114.html	NV	700-Trade practices	Life
2015/I_AB_114.html	NV	010-All/unspecified lines	Commercial P&C
2015/I_AB_1141_R_1.html	CA	800-Legal procedure / proceedings	Life
2015/I_AB_1141_R_1.html	CA	840-Government agencies	Personal P&C
2015/I_AB_1141_R_1.html	CA	010-All/unspecified lines	Commercial P&C
2015/I_AB_1141_R_1.html	CA	580-Fees and taxes	Health
2015/I_AB_115.html	NY	840-Government agencies	
2015/I_AB_115.html	NY	125-Professional liability insurance / insurers	Commercial P&C
2015/I_AB_115.html	NY	760-Premium rates / rating organizations	
2015/I_AB_115.html	NV	125-Professional liability insurance / insurers	Commercial P&C
2015/I_AB_115.html	NV	720-Information practices	
2015/I_AB_115.html	NV	840-Government agencies	
2015/I_AB_1153.html	NY	300-The policy	
2015/I_AB_1153.html	NY	840-Government agencies	
2015/I_AB_1153.html	NY	060-Health insurance / insurers	Health
2015/I_AB_1153.html	NY	065-Health service corporations	
2015/I_AB_1153.html	NY	080-Group insurance (all lines)	
2015/I_AB_1154.html	CA	720-Information practices	Health
2015/I_AB_1154.html	CA	800-Legal procedure / proceedings	Life
2015/I_AB_1154.html	NY	300-The policy	
2015/I_AB_1154.html	NY	080-Group insurance (all lines)	
2015/I_AB_1154.html	CA	010-All/unspecified lines	Commercial P&C
2015/I_AB_1154.html	NY	060-Health insurance / insurers	Health
2015/I_AB_1154.html	NY	065-Health service corporations	
2015/I_AB_1154.html	CA	840-Government agencies	Personal P&C
2015/I_AB_1161.html	NY	010-All/unspecified lines	Commercial P&C
2015/I_AB_1161.html	NY	700-Trade practices	Health
2015/I_AB_1161.html	NY	800-Legal procedure / proceedings	Life
2015/I_AB_1161.html	NY	840-Government agencies	Personal P&C
2015/I_AB_1163.html	CA	720-Information practices	
2015/I_AB_1163.html	CA	400-Insurance representatives	
2015/I_AB_1163.html	CA	060-Health insurance / insurers	Health
2015/I_AB_1163.html	CA	065-Health service corporations	
2015/I_AB_1163.html	CA	080-Group insurance (all lines)	
2015/I_AB_1163.html	CA	300-The policy	
2015/I_AB_1170.html	CA	160-Workers compensation insurance / insurers	Commercial P&C
2015/I_AB_1170.html	CA	300-The policy	
2015/I_AB_1170.html	CA	560-Finance and investments	
2015/I_AB_1170.html	CA	840-Government agencies	
2015/I_AB_1174.html	NY	840-Government agencies	
2015/I_AB_1174.html	NY	800-Legal procedure / proceedings	
2015/I_AB_1174.html	NY	720-Information practices	
2015/I_AB_1174.html	NY	300-The policy	
2015/I_AB_1174.html	NY	065-Health service corporations	Health
2015/I_AB_1174.html	NY	080-Group insurance (all lines)	
2015/I_AB_1178.html	NY	065-Health service corporations	
2015/I_AB_1178.html	NY	080-Group insurance (all lines)	
2015/I_AB_1178.html	NY	300-The policy	
2015/I_AB_1178.html	NY	320-Mandated health benefits	
2015/I_AB_1178.html	NY	060-Health insurance / insurers	Health
2015/I_AB_119.html	WI	140-Automobile insurance / insurers	Commercial P&C
2015/I_AB_119.html	WI	300-The policy	Personal P&C
2015/I_AB_119.html	WI	700-Trade practices	
2015/I_AB_119.html	WI	800-Legal procedure / proceedings	
2015/I_AB_119.html	WI	840-Government agencies	
2015/I_AB_1190.html	NY	060-Health insurance / insurers	Health
2015/I_AB_1190.html	NY	065-Health service corporations	
2015/I_AB_1190.html	NY	080-Group insurance (all lines)	
2015/I_AB_1190.html	NY	300-The policy	
2015/I_AB_1190.html	NY	840-Government agencies	
2015/I_AB_1193.html	NY	060-Health insurance / insurers	Health
2015/I_AB_1193.html	NY	065-Health service corporations	
2015/I_AB_1193.html	NY	080-Group insurance (all lines)	
2015/I_AB_1193.html	NY	800-Legal procedure / proceedings	
2015/I_AB_1193.html	NY	720-Information practices	
2015/I_AB_1193.html	NY	300-The policy	
2015/I_AB_1197.html	NY	010-All/unspecified lines	Commercial P&C
2015/I_AB_1197.html	NY	700-Trade practices	Health
2015/I_AB_12.html	WI	800-Legal procedure / proceedings	
2015/I_AB_12.html	WI	120-Casualty and liability insurance / insurers	
2015/I_AB_12.html	WI	100-Property and fire insurance / insurers	Personal P&C
2015/I_AB_1206.html	NY	800-Legal procedure / proceedings	Health
2015/I_AB_1206.html	NY	010-All/unspecified lines	Commercial P&C
2015/I_AB_121.html	NY	800-Legal procedure / proceedings	
2015/I_AB_121.html	NY	720-Information practices	
2015/I_AB_121.html	NY	700-Trade practices	
2015/I_AB_121.html	NY	560-Finance and investments	
2015/I_AB_121.html	NY	260-Credit insurance	Personal P&C
2015/I_AB_121.html	NY	840-Government agencies	
2015/I_AB_1211.html	NY	300-The policy	
2015/I_AB_1211.html	NY	320-Mandated health benefits	
2015/I_AB_1211.html	NY	080-Group insurance (all lines)	
2015/I_AB_1211.html	NY	065-Health service corporations	
2015/I_AB_1211.html	NY	060-Health insurance / insurers	Health
2015/I_AB_1211_R_2.html	CA	060-Health insurance / insurers	Health
2015/I_AB_1211_R_2.html	CA	065-Health service corporations	
2015/I_AB_1211_R_2.html	CA	960-Federal Law citations	
2015/I_AB_1211_R_2.html	CA	840-Government agencies	
2015/I_AB_1211_R_2.html	CA	080-Group insurance (all lines)	
2015/I_AB_1212.html	NY	300-The policy	
2015/I_AB_1212.html	NY	720-Information practices	
2015/I_AB_1212.html	NY	800-Legal procedure / proceedings	
2015/I_AB_1212.html	NY	065-Health service corporations	Health
2015/I_AB_1212.html	NY	080-Group insurance (all lines)	
2015/I_AB_1222.html	CA	140-Automobile insurance / insurers	Commercial P&C
2015/I_AB_1222.html	NY	800-Legal procedure / proceedings	
2015/I_AB_1222.html	CA	800-Legal procedure / proceedings	
2015/I_AB_1222.html	CA	840-Government agencies	
2015/I_AB_1222.html	CA	580-Fees and taxes	
2015/I_AB_1222.html	NY	840-Government agencies	
2015/I_AB_1222.html	NY	360-Filing and reporting requirements	Life
2015/I_AB_1222.html	NY	450-Other representatives	
2015/I_AB_1222.html	NY	500-Corporate organization and governance	
2015/I_AB_1222.html	NY	540-Securities	
2015/I_AB_1222.html	NY	560-Finance and investments	
2015/I_AB_1222.html	NY	580-Fees and taxes	
2015/I_AB_1222.html	NY	640-General business / corporation law	
2015/I_AB_1222.html	NY	700-Trade practices	
2015/I_AB_1222.html	NY	720-Information practices	
2015/I_AB_1222.html	CA	720-Information practices	Personal P&C
2015/I_AB_1230.html	NY	100-Property and fire insurance / insurers	Commercial P&C
2015/I_AB_1230.html	NY	120-Casualty and liability insurance / insurers	Personal P&C
2015/I_AB_1230.html	NY	125-Professional liability insurance / insurers	
2015/I_AB_1230.html	NY	140-Automobile insurance / insurers	
2015/I_AB_1230.html	NY	300-The policy	
2015/I_AB_1230.html	NY	840-Government agencies	
2015/I_AB_1231.html	CA	060-Health insurance / insurers	Health
2015/I_AB_1231.html	CA	065-Health service corporations	
2015/I_AB_1231.html	CA	080-Group insurance (all lines)	
2015/I_AB_1231.html	CA	300-The policy	
2015/I_AB_1231.html	CA	840-Government agencies	
2015/I_AB_1241.html	NY	065-Health service corporations	Health
2015/I_AB_1241.html	NY	080-Group insurance (all lines)	
2015/I_AB_1241.html	NY	160-Workers compensation insurance / insurers	
2015/I_AB_1241.html	NY	060-Health insurance / insurers	Commercial P&C
2015/I_AB_1241.html	NY	300-The policy	
2015/I_AB_1249.html	CA	840-Government agencies	
2015/I_AB_1249.html	CA	140-Automobile insurance / insurers	Commercial P&C
2015/I_AB_125.html	NV	840-Government agencies	
2015/I_AB_125.html	NV	800-Legal procedure / proceedings	
2015/I_AB_125.html	NV	720-Information practices	
2015/I_AB_125.html	NV	450-Other representatives	
2015/I_AB_125.html	NV	100-Property and fire insurance / insurers	Commercial P&C
2015/I_AB_125.html	NV	120-Casualty and liability insurance / insurers	Personal P&C
2015/I_AB_125.html	NV	125-Professional liability insurance / insurers	
2015/I_AB_125.html	NV	300-The policy	
2015/I_AB_1252.html	NY	840-Government agencies	
2015/I_AB_1252.html	NY	125-Professional liability insurance / insurers	Commercial P&C
2015/I_AB_1252.html	NY	720-Information practices	
2015/I_AB_1252.html	NY	300-The policy	
2015/I_AB_1254.html	CA	001-Technical corrections	Health
2015/I_AB_1254.html	CA	065-Health service corporations	
2015/I_AB_1254.html	CA	080-Group insurance (all lines)	
2015/I_AB_1254.html	CA	840-Government agencies	
2015/I_AB_1262.html	NY	020-Life insurance / insurers	Health
2015/I_AB_1262.html	NY	040-Annuities	Life
2015/I_AB_1262.html	NY	060-Health insurance / insurers	
2015/I_AB_1262.html	NY	065-Health service corporations	
2015/I_AB_1262.html	NY	080-Group insurance (all lines)	
2015/I_AB_1262.html	NY	300-The policy	
2015/I_AB_1262.html	NY	840-Government agencies	
2015/I_AB_1262.html	NY	500-Corporate organization and governance	
2015/I_AB_1262.html	NY	560-Finance and investments	
2015/I_AB_1262.html	NY	580-Fees and taxes	
2015/I_AB_1262.html	NY	720-Information practices	
2015/I_AB_1262.html	NY	800-Legal procedure / proceedings	
2015/I_AB_1262.html	NY	360-Filing and reporting requirements	
2015/I_AB_1277.html	NY	060-Health insurance / insurers	Health
2015/I_AB_1277.html	NY	065-Health service corporations	
2015/I_AB_1277.html	NY	320-Mandated health benefits	
2015/I_AB_1277.html	NY	300-The policy	
2015/I_AB_1277.html	NY	080-Group insurance (all lines)	
2015/I_AB_128.html	WI	010-All/unspecified lines	Commercial P&C
2015/I_AB_128.html	WI	700-Trade practices	Health
2015/I_AB_128.html	WI	720-Information practices	Life
2015/I_AB_128.html	WI	800-Legal procedure / proceedings	Personal P&C
2015/I_AB_128.html	WI	840-Government agencies	
2015/I_AB_128.html	NV	800-Legal procedure / proceedings	
2015/I_AB_128.html	NV	065-Health service corporations	
2015/I_AB_128.html	NV	080-Group insurance (all lines)	
2015/I_AB_128.html	NV	450-Other representatives	
2015/I_AB_128.html	NV	720-Information practices	
2015/I_AB_128.html	NV	060-Health insurance / insurers	Health
2015/I_AB_129.html	NV	560-Finance and investments	
2015/I_AB_129.html	NV	160-Workers compensation insurance / insurers	Commercial P&C
2015/I_AB_129.html	NV	800-Legal procedure / proceedings	
2015/I_AB_129_R_2.html	WI	300-The policy	Personal P&C
2015/I_AB_129_R_2.html	WI	580-Fees and taxes	
2015/I_AB_129_R_2.html	WI	800-Legal procedure / proceedings	
2015/I_AB_129_R_2.html	WI	840-Government agencies	
2015/I_AB_129_R_2.html	WI	120-Casualty and liability insurance / insurers	Life
2015/I_AB_129_R_2.html	WI	040-Annuities	Commercial P&C
2015/I_AB_129_R_2.html	WI	960-Federal Law citations	
2015/I_AB_129_R_2.html	WI	720-Information practices	
2015/I_AB_1305.html	CA	060-Health insurance / insurers	Health
2015/I_AB_1305.html	CA	065-Health service corporations	
2015/I_AB_1305.html	CA	080-Group insurance (all lines)	
2015/I_AB_1305.html	CA	960-Federal Law citations	
2015/I_AB_1305.html	CA	320-Mandated health benefits	
2015/I_AB_1305.html	CA	840-Government agencies	
2015/I_AB_1305.html	CA	300-The policy	
2015/I_AB_131.html	NY	160-Workers compensation insurance / insurers	Commercial P&C
2015/I_AB_131.html	NY	300-The policy	
2015/I_AB_131.html	NY	800-Legal procedure / proceedings	
2015/I_AB_1311.html	NY	840-Government agencies	
2015/I_AB_1311.html	NY	060-Health insurance / insurers	Health
2015/I_AB_1311.html	NY	080-Group insurance (all lines)	
2015/I_AB_1311.html	NY	065-Health service corporations	
2015/I_AB_1313.html	NY	010-All/unspecified lines	Commercial P&C
2015/I_AB_1313.html	NY	800-Legal procedure / proceedings	Health
2015/I_AB_1327.html	NY	060-Health insurance / insurers	Health
2015/I_AB_1327.html	NY	065-Health service corporations	
2015/I_AB_1327.html	NY	080-Group insurance (all lines)	
2015/I_AB_1327.html	NY	300-The policy	
2015/I_AB_1327.html	NY	450-Other representatives	
